PMID,Subtype,Off_target_1_accumulation_(%),Off_target_1_accumulation
30869510,Gold,NA,NA
30869726,Gold,NA,NA
30874421,Iron_oxide,NA,NA
30882830,Hybrid,322.2,Liver
30905667,Iron_oxide,9.671179884,Liver
30911166,Iron_oxide,NA,NA
30942569,Gold,NA,NA
30964253,Gold,227.1,Liver
30964632,Gold,846.8,Spleen
31006932,Gold,585,Liver
31028887,Silica,NA,NA
31042245,Iron_oxide,NA,NA
31046176,Gold,449.5,Liver
31048083,Silica,NA,NA
31058483,Silica,NA,NA
31066542,Silica,NA,NA
31074627,Iron_oxide,NA,NA
31081332,Silica,NA,NA
31103947,Silica,NA,NA
31112176,Gold,NA,NA
31132380,Iron_oxide,842.1052632,Liver
31140281,Iron_oxide,NA,Liver
31174065,Gold,251.4,Liver
31180099,Iron_oxide,24.2022078,Liver
31195303,Iron_oxide,554.3478261,Spleen
31244043,Iron_oxide,335.5844156,Spleen
31251050,Silica,52,Spleen
31259530,Hybrid,NA,NA
31265049,Silica,NA,NA
31293148,Gold,83.4,Liver
31326525,Iron_oxide,NA,NA
31355836,Silica,NA,NA
31359757,Gold,120.3,Liver
31364258,Silica,NA,NA
31393496,Iron_oxide,NA,Liver
31449887,Iron_oxide,NA,Spleen
31453620,Iron_oxide,NA,NA
31455962,Gold,575.5,Kidney
31474108,Hybrid,110,Spleen
31475516,Hybrid,276.2,Kidney
31498999,Iron_oxide,NA,NA
31525949,Silica,NA,NA
31553151,Iron_oxide,NA,Liver
31553168,Gold,NA,NA
31554396,Iron_oxide,296.2616822,Liver
31570915,Silica,NA,NA
31573175,Gold,NA,NA
31576881,Iron_oxide,47.28212584,Kidney
31577423,Iron_oxide,144.7700009,Liver
31588724,Hybrid,NA,NA
31594932,Silica,NA,NA
31618000,Iron_oxide,222.1428571,Spleen
31618568,Iron_oxide,NA,NA
31635454,Iron_oxide,340.6315789,Spleen
31657911,Silica,NA,Liver
31682097,Silica,3.7,Liver
31682447,Silica,NA,Liver
31722170,Silica,NA,NA
31724677,Silica,NA,
31736295,Silica,36.7,Liver
31748768,Gold,NA,NA
31755189,Iron_oxide,NA,NA
31755692,Iron_oxide,375,Spleen
31773941,Silica,NA,Liver
31803890,Iron_oxide,12.5,Liver
31806405,Gold,NA,NA
31840066,Silica,NA,NA
31845927,Gold,NA,NA
31904049,Iron_oxide,NA,NA
31912068,Gold,NA,NA
31916740,Silica,509.6774194,Liver
31923762,Iron_oxide,323.0769231,Liver
31939276,Silica,NA,NA
31940169,Gold,NA,NA
31961656,Iron_oxide,326.5306122,Spleen
31971195,Gold,162.7,Liver
32028168,Iron_oxide,NA,NA
32031201,Iron_oxide,NA,NA
32041404,Gold,140.5,Lung
32049490,Gold,NA,NA
32076639,Iron_oxide,NA,NA
32077633,Hybrid,NA,NA
32118400,Iron_oxide,21.11111111,Liver
32200104,Iron_oxide,NA,NA
32202584,Gold,NA,NA
32233414,Silica,NA,NA
32255624,Gold,NA,NA
32278101,Silica,NA,NA
32338490,Gold,NA,NA
32393026,Silica,203.3069734,Liver
32413258,Gold,NA,NA
32416002,Silica,NA,NA
32440551,Silica,NA,NA
32462807,Silica,NA,NA
